DAUID,Data
35250030,402
35250031,468
35250032,614
35250033,627
35250034,680
35250035,392
35250036,603
35250037,542
35250038,689
35250039,526
35250040,490
35250041,403
35250042,247
35250043,577
35250044,419
35250045,422
35250046,503
35250047,575
35250048,277
35250049,394
35250050,408
35250051,1312
35250052,339
35250053,599
35250054,365
35250055,735
35250056,211
35250059,1051
35250060,653
35250061,400
35250062,596
35250064,768
35250065,530
35250066,390
35250067,608
35250070,658
35250073,451
35250074,315
35250075,414
35250077,561
35250078,400
35250079,301
35250080,663
35250081,1055
35250082,249
35250083,846
35250084,349
35250085,303
35250086,695
35250087,506
35250088,460
35250089,533
35250093,538
35250094,348
35250095,438
35250096,514
35250097,363
35250098,232
35250099,1038
35250100,490
35250101,456
35250102,333
35250105,569
35250106,478
35250107,498
35250108,533
35250109,702
35250110,573
35250111,735
35250112,462
35250113,312
35250114,381
35250115,1426
35250116,711
35250117,278
35250118,384
35250119,498
35250120,394
35250121,461
35250122,392
35250123,374
35250124,481
35250125,332
35250126,611
35250127,1581
35250128,442
35250129,354
35250130,318
35250133,426
35250134,766
35250135,1665
35250136,351
35250137,397
35250144,1676
35250145,373
35250146,788
35250147,437
35250148,430
35250149,575
35250150,452
35250151,444
35250152,1488
35250153,558
35250156,399
35250158,513
35250159,440
35250160,397
35250161,700
35250162,387
35250163,558
35250164,540
35250172,513
35250173,1273
35250175,1637
35250176,705
35250177,765
35250178,560
35250179,638
35250180,1608
35250181,363
35250183,232
35250184,369
35250185,685
35250186,317
35250188,718
35250189,597
35250190,426
35250191,746
35250192,1417
35250193,312
35250194,486
35250196,573
35250197,496
35250199,3055
35250200,535
35250201,278
35250202,1115
35250203,1094
35250204,927
35250205,237
35250206,612
35250207,306
35250208,389
35250209,332
35250210,453
35250211,309
35250212,448
35250213,377
35250216,403
35250217,641
35250218,561
35250221,563
35250222,535
35250223,446
35250224,415
35250225,364
35250226,496
35250227,578
35250230,507
35250231,724
35250232,875
35250233,531
35250234,390
35250238,840
35250239,437
35250240,593
35250241,277
35250242,0
35250243,1192
35250248,844
35250249,508
35250250,488
35250251,393
35250254,700
35250255,527
35250256,628
35250257,571
35250258,761
35250259,514
35250260,586
35250261,471
35250262,762
35250263,871
35250264,382
35250265,453
35250266,350
35250267,485
35250269,257
35250270,304
35250271,339
35250272,417
35250273,365
35250274,995
35250275,496
35250276,618
35250277,422
35250278,425
35250279,699
35250280,398
35250281,535
35250282,550
35250283,637
35250284,387
35250285,818
35250286,330
35250287,679
35250288,443
35250289,732
35250290,636
35250291,1080
35250293,932
35250294,456
35250295,343
35250296,449
35250297,582
35250298,548
35250299,583
35250300,829
35250302,405
35250303,510
35250304,551
35250305,556
35250306,402
35250307,666
35250308,909
35250309,357
35250310,393
35250311,580
35250312,380
35250313,719
35250315,715
35250316,669
35250317,503
35250318,115
35250319,420
35250320,495
35250321,327
35250322,413
35250323,529
35250324,948
35250326,373
35250327,759
35250328,395
35250329,514
35250330,448
35250331,433
35250332,564
35250333,609
35250334,516
35250335,398
35250336,506
35250337,780
35250338,744
35250339,538
35250340,270
35250341,638
35250342,532
35250343,498
35250344,503
35250345,399
35250346,438
35250347,447
35250348,542
35250349,470
35250350,607
35250351,369
35250352,551
35250353,557
35250354,562
35250355,593
35250356,621
35250357,481
35250358,553
35250359,461
35250360,477
35250361,485
35250362,484
35250363,409
35250364,243
35250365,928
35250366,744
35250367,543
35250368,513
35250369,496
35250370,416
35250371,508
35250372,525
35250373,439
35250374,484
35250375,514
35250376,465
35250377,587
35250378,459
35250379,361
35250380,461
35250381,445
35250382,502
35250383,619
35250384,468
35250385,489
35250387,447
35250388,539
35250389,394
35250390,503
35250391,509
35250392,524
35250393,437
35250394,740
35250395,683
35250396,591
35250397,539
35250398,264
35250399,730
35250400,662
35250401,624
35250402,480
35250403,643
35250404,444
35250405,411
35250406,662
35250407,641
35250408,454
35250409,377
35250410,436
35250411,492
35250412,540
35250413,556
35250416,501
35250417,559
35250418,524
35250419,815
35250420,932
35250421,629
35250422,727
35250423,694
35250424,549
35250425,802
35250426,513
35250427,326
35250428,586
35250429,364
35250430,450
35250431,524
35250434,1427
35250435,451
35250436,504
35250437,464
35250438,317
35250439,606
35250440,616
35250441,566
35250442,605
35250443,468
35250444,529
35250445,414
35250446,532
35250447,458
35250448,720
35250449,409
35250450,508
35250451,233
35250452,327
35250453,432
35250454,644
35250455,631
35250456,591
35250457,0
35250458,435
35250459,742
35250460,340
35250461,446
35250462,391
35250463,398
35250464,354
35250465,585
35250466,462
35250467,823
35250468,552
35250471,421
35250472,442
35250473,443
35250474,719
35250475,443
35250476,465
35250477,521
35250478,393
35250479,598
35250480,495
35250481,397
35250482,506
35250483,456
35250484,416
35250485,544
35250486,658
35250487,379
35250488,455
35250489,366
35250490,415
35250491,354
35250492,368
35250493,387
35250494,348
35250495,458
35250496,233
35250497,663
