DAUID,Data
35250030,150
35250031,160
35250032,220
35250033,220
35250034,280
35250035,155
35250036,230
35250037,240
35250038,395
35250039,315
35250040,225
35250041,235
35250042,120
35250043,260
35250044,160
35250045,250
35250046,195
35250047,255
35250048,105
35250049,160
35250050,155
35250051,520
35250052,130
35250053,235
35250054,130
35250055,295
35250056,60
35250059,380
35250060,250
35250061,145
35250062,240
35250064,305
35250065,175
35250066,145
35250067,195
35250070,175
35250073,150
35250074,115
35250075,145
35250077,190
35250078,135
35250079,115
35250080,210
35250081,365
35250082,95
35250083,250
35250084,115
35250085,105
35250086,170
35250087,190
35250088,175
35250089,300
35250093,215
35250094,135
35250095,170
35250096,185
35250097,115
35250098,70
35250099,300
35250100,190
35250101,160
35250102,110
35250105,235
35250106,190
35250107,195
35250108,210
35250109,260
35250110,230
35250111,325
35250112,175
35250113,110
35250114,145
35250115,550
35250116,240
35250117,95
35250118,130
35250119,185
35250120,140
35250121,180
35250122,135
35250123,120
35250124,185
35250125,115
35250126,225
35250127,465
35250128,130
35250129,120
35250130,105
35250133,240
35250134,275
35250135,535
35250136,125
35250137,140
35250144,515
35250145,125
35250146,290
35250147,155
35250148,175
35250149,190
35250150,215
35250151,160
35250152,565
35250153,210
35250156,135
35250158,165
35250159,155
35250160,125
35250161,225
35250162,140
35250163,210
35250164,260
35250172,170
35250173,415
35250175,495
35250176,220
35250177,245
35250178,180
35250179,190
35250180,515
35250181,120
35250183,80
35250184,125
35250185,125
35250186,110
35250188,270
35250189,180
35250190,140
35250191,255
35250192,470
35250193,120
35250194,160
35250196,195
35250197,180
35250199,1050
35250200,235
35250201,105
35250202,445
35250203,390
35250204,365
35250205,90
35250206,235
35250207,110
35250208,155
35250209,125
35250210,165
35250211,195
35250212,225
35250213,160
35250216,150
35250217,235
35250218,210
35250221,330
35250222,205
35250223,190
35250224,185
35250225,140
35250226,330
35250227,270
35250230,195
35250231,270
35250232,305
35250233,205
35250234,120
35250238,320
35250239,120
35250240,240
35250241,95
35250243,505
35250248,295
35250249,320
35250250,200
35250251,195
35250254,335
35250255,270
35250256,295
35250257,350
35250258,440
35250259,205
35250260,330
35250261,270
35250262,295
35250263,290
35250264,125
35250265,165
35250266,140
35250267,200
35250269,95
35250270,115
35250271,130
35250272,225
35250273,135
35250274,385
35250275,185
35250276,235
35250277,180
35250278,150
35250279,240
35250280,140
35250281,195
35250282,190
35250283,230
35250284,145
35250285,315
35250286,120
35250287,225
35250288,160
35250289,215
35250290,215
35250291,335
35250293,380
35250294,140
35250295,120
35250296,170
35250297,200
35250298,170
35250299,195
