"","DAUID","X4","X7","X14","X15","X18","X20","X27","X31","X32","X33","X34","X38","X39","X40","X43","X45","X47","X52","X57","X64","X74","X75","X76","X78","X80","X82","X83","X84","X85","X88","X89","X90","X94","X96","X98","X99","X101","X103","X104","X108","X109","X111","X113","X115","X117","X120","X122","X127","X131","X134","X142","X144","X147","X150","X152","X160","X161","X166","X178","X179","X182","X188","X189","X194","X197","X198","X207","X209","X212","X215","X217","X218","X220","X221","X222","X226","X229","X230","X231","X234","X237","X238","X245","X248","X254","X258","X263","X264","X265","X269","X271","X272","X273","X274","X275","X283","X284","X287","X290","X291","X296","X303","X304","X310","X314","X319","X333","X343","X344","X348","X351","X360","X376","X378","X383","X387","X388","X389","X394","X396","X398","X406","X416","X423","X425","X428","X429","X432","X433","X444","X445","X447","X448","X450","X454","X455","X456","X457","X458","X465","X466","X468","X470","X472","X473","X477","X480","X482","X485","X487","X488","X492","X493","X497","X499","X507","X511","X515","X518","X519","X523","X524","X528","X530","X535","X536","X537","X541","X546","X547","X548","X553","X554","X557","X561","X565","X567","X568","X569","X576"
"1",35250030,9.211108106,8.450527635,9.073935941,8.355847357,11.23126331,16.77616488,2.646755643,13.7237597,15.57509538,13.32977748,7.713411524,8.34891712,7.395287997,7.395287997,7.401620958,17.04591224,8.877197997,15.47868167,6.136238099,8.87759804,19.4384194,10.44661814,9.706617928,15.3904911,9.893949502,15.65252395,15.65252395,14.61529633,7.511158117,13.86445998,9.111843164,17.90512565,12.10528595,18.19615577,18.44716882,8.542300593,12.83509323,23.21155508,19.31357715,9.102946314,8.701118015,7.671291449,7.387524929,9.029275083,10.18867063,9.281142759,18.90910426,8.739010012,9.211108106,9.181486395,19.25915655,19.07396329,8.749958512,9.951426995,9.380609959,7.764437559,15.17177075,8.835079721,7.921064991,8.999706389,7.909243789,12.17093466,9.534961865,15.53813718,10.48341646,19.55733173,9.631297326,5.149882049,5.159920202,27.54030413,5.505618508,7.793079303,13.20297472,19.36094803,11.15462007,8.108228026,18.45867319,17.80130468,13.11255549,15.47357224,5.501944364,9.345386952,14.18432529,13.92739466,10.72842409,19.69410944,20.23814722,12.98178943,23.33871476,7.808499594,12.99423517,9.019732817,19.1993299,12.9357635,8.079030572,15.69786198,19.20619569,7.549977496,12.61930586,24.07123613,20.48440886,21.08562708,15.86311297,7.413748618,15.30450636,8.721954759,11.24009747,10.13245409,11.34310792,11.77631648,14.08660218,10.23051041,9.682646109,7.476321431,17.2717685,12.01816061,8.274978529,17.24949235,16.61053182,7.648095085,22.15171165,16.6383922,11.59621824,12.19759008,8.422629113,14.6582023,12.34839702,11.46480439,10.59549472,18.22512275,7.686582789,11.6597764,11.67841015,14.4671476,7.327901069,16.19246593,20.02525354,16.91483927,16.99721444,8.222579883,14.06435226,11.79166892,12.40734462,11.0387776,18.12619244,8.758680004,12.83639788,19.38896094,11.10899164,8.321157256,14.47890683,9.783074374,12.85102713,18.46560372,15.83743505,12.91888636,13.3944551,9.436669244,19.87777059,9.216006619,17.6896254,13.8772099,14.56648296,10.58516258,12.48086669,11.64940947,14.64914273,14.41042174,11.93711709,14.738711,13.35727935,14.73426585,4.417772941,11.56861756,13.17810696,6.079951296,17.37500813,19.17640449,12.52156051,24.02032296
"2",35250031,8.823420189,8.062839718,8.686248024,7.96815944,10.84357539,16.38847697,3.98103597,13.33607178,15.18740746,12.94208956,7.325723607,7.961229203,8.191469249,8.191469249,8.19780221,16.65822432,8.48951008,15.09099376,7.486053435,8.489910123,19.05073148,10.05893022,9.679575525,15.00280318,9.506261585,15.26483603,15.26483603,14.22760841,8.307339369,13.47677206,8.724155247,17.51743773,13.45510129,17.80846785,18.0594809,8.51525819,14.18490857,22.82386716,18.92588923,8.715258396,8.674075613,7.932471663,6.999837012,9.00223268,9.800982718,9.254100356,18.52141635,8.351322095,8.823420189,8.793798478,18.87146863,18.68627537,8.362270595,9.563739078,8.992922042,8.560618811,14.78408283,8.447391804,7.533377074,9.224844861,7.521555872,11.78324675,9.147273948,15.15044926,10.09572855,19.16964381,9.243609409,6.499697385,6.509735538,27.15261622,6.855433844,7.405391386,12.8152868,18.97326011,10.76693216,8.904409278,18.07098527,17.41361676,12.72486758,15.08588432,6.851759699,8.957699035,13.79663737,13.53970675,10.34073617,19.30642152,19.85045931,12.59410151,22.95102685,9.114004195,12.60654725,8.6320449,18.81164198,12.54807559,8.051988169,15.31017406,18.81850777,8.16940475,12.23161794,23.68354822,20.09672094,20.69793916,15.47542506,8.033175873,14.91681844,8.334266842,10.85240955,9.744766175,10.95542,11.38862856,13.69891426,9.842822491,9.294958192,7.088633514,16.88408058,11.63047269,7.887290612,16.86180443,16.2228439,7.621052682,21.76402373,16.25070428,11.20853032,11.80990217,8.647767585,14.27051438,11.9607091,11.07711647,10.2078068,17.83743483,8.492042504,11.27208848,11.29072224,14.07945968,8.03695813,15.80477802,19.63756562,16.52715135,16.60952653,7.834891966,13.67666435,11.403981,12.01965671,10.65108969,17.73850452,8.370992087,12.44870996,19.00127302,10.72130373,7.933469339,14.09121891,9.395386457,12.46333921,18.0779158,15.44974713,12.53119845,13.00676718,9.048981327,21.90429412,9.44114509,17.30193749,13.48952199,14.17879504,10.19747466,12.09317878,11.26172155,14.26145482,14.02273382,11.54942917,14.35102309,12.96959143,14.34657793,5.767588277,11.18092965,12.79041905,7.429766632,16.98732021,18.78871658,12.1338726,23.63263505
"3",35250032,8.839009309,8.078428838,8.701837144,7.98374856,10.85916451,16.40406609,4.616096648,10.7382142,14.8517088,12.95767868,5.018117257,5.804604944,3.79509011,3.79509011,3.801423071,16.67381344,8.5050992,14.7552951,8.204447446,4.688432835,19.0663206,10.07451934,5.283196386,12.87798784,9.633303476,15.28042515,15.28042515,14.44025288,3.91096023,13.49236118,8.739744367,18.11107113,13.42356192,17.82405697,18.07507002,4.118879051,14.1533692,23.54226117,18.94147835,8.730847516,4.277696474,3.536092524,7.015426132,4.605853542,10.01362718,4.857721218,18.53700546,6.342724188,8.839009309,8.809387598,19.58986264,18.70186449,8.74897614,9.579328198,9.008511161,4.164239672,14.79967195,8.462980924,7.548966194,4.828465722,7.537144992,10.97623039,9.162863068,14.3434329,10.30837301,19.88803782,9.259198529,7.218091396,7.228129549,27.16820534,7.573827855,7.420980506,12.42983335,18.98884923,10.78252128,4.508030139,18.78937928,17.42920588,10.12701,15.10147344,7.570153711,8.973288155,11.19877979,13.55529587,10.55338063,19.32201064,20.56885332,9.996243929,22.96661597,4.717625056,10.00868967,8.083509445,18.8272311,9.950218007,3.65560903,15.32576318,18.83409689,3.773025611,12.92066425,23.69913734,20.11231006,20.71352828,15.49101418,3.636796734,14.93240756,8.349855962,11.06505401,9.760355295,11.34212555,11.40421768,13.71450338,9.858411611,9.310547312,7.104222633,17.60247459,11.64606181,7.902879732,16.87739355,16.94123791,3.224673543,21.97049651,16.2662934,11.22411944,11.82549129,4.251388446,14.2861035,11.97629822,11.09270559,10.22339592,17.85302395,4.095663365,11.65879402,11.30631136,11.4816021,3.640578991,14.54899186,19.65315474,16.54274047,16.62511565,7.850481085,13.69225347,11.41957012,12.03524583,10.66667881,17.75409364,7.096280903,12.46429908,19.01686214,10.73689285,5.924871432,14.10680803,9.522428348,12.47892833,18.09350492,15.46533625,12.54678757,13.0223563,9.435686871,17.94051127,5.044765951,17.31752661,13.50511111,11.58093746,10.21306378,12.1087679,11.27731067,14.27704394,14.24005349,11.56501829,14.36661221,12.98518055,14.36216705,6.485982288,11.19651877,13.00306351,8.148160643,17.00290933,18.8043057,12.14946172,24.35102906
"4",35250033,9.339741901,8.579161429,9.202569735,8.484481151,11.3598971,16.90479868,7.021862974,11.23894679,15.35244139,13.45841127,5.518849848,6.305337536,4.295822701,4.295822701,4.302155663,17.17454603,9.005831791,15.25602769,10.61021377,5.189165427,19.56705319,10.57525194,5.783928978,13.37872043,10.13403607,15.78115774,15.78115774,14.94098547,4.411692822,13.99309378,9.240476958,18.61180372,15.82932824,18.32478956,18.57580261,4.619611643,16.55913552,25.9480275,19.44221094,9.231580108,4.778429065,4.036825116,7.516158724,5.106586133,10.51435977,5.358453809,19.03773806,6.843456779,9.339741901,9.31012019,20.46330489,19.20259708,9.249708731,10.08006079,9.509243753,4.664972264,15.30040454,8.963713515,8.049698786,5.329198313,8.037877584,11.47696298,9.663595659,14.84416549,10.8091056,20.76148007,9.75993112,9.623857721,9.633895875,27.66893793,9.979594181,7.921713098,12.93056594,19.48958182,11.28325387,5.008762731,19.66282153,17.92993847,10.62774259,15.60220603,9.975920036,9.474020746,11.69951238,14.05602846,11.05411322,19.82274323,22.97461964,10.49697652,23.46734856,5.218357647,10.50942226,8.584242037,19.32796369,10.4509506,4.156341622,15.82649577,19.33482948,4.273758203,13.42139684,24.19986993,20.61304265,21.21426087,15.99174677,4.137529325,15.43314015,8.850588554,11.56578661,10.26108789,11.84285814,11.90495028,14.21523597,10.3591442,9.811279904,7.604955225,20.00824092,12.1467944,8.403612323,17.37812614,19.10644219,3.725406135,22.4712291,16.767026,11.72485204,12.32622388,4.752121037,14.78683609,12.47703081,11.59343818,10.72412851,18.35375655,4.596395957,12.15952661,11.80704395,11.9823347,4.141311583,15.04972445,20.15388733,17.04347306,17.12584824,8.351213677,14.19298606,11.92030271,12.53597842,11.1674114,18.25482624,7.597013495,12.96503168,19.51759473,11.23762544,6.425604023,14.60754062,10.02316094,12.97966093,18.59423751,15.96606884,13.04752016,13.52308889,9.936419463,18.44124387,5.545498543,17.8182592,14.0058437,12.08167005,10.71379637,12.60950049,11.77804326,14.77777653,14.74078608,12.06575088,14.8673448,13.48591314,14.86289964,8.891748614,11.69725136,13.5037961,10.55392697,17.50364192,19.30503829,12.65019431,26.75679538
"5",35250034,9.118136175,8.357555704,8.980964009,8.262875426,11.13829137,16.68319295,8.868061888,9.865131566,13.97862617,13.23680554,5.297244122,6.08373181,2.577306856,2.577306856,2.583639817,16.95294031,8.784226065,13.88221246,11.92248157,4.967559701,19.2411449,10.35364621,5.562323252,12.00490521,9.912430342,15.55955202,15.55955202,14.71937974,2.693176976,13.77148805,9.018871232,18.390198,14.29319822,17.99888127,18.24989432,4.398005917,16.28419934,26.18446003,19.22060521,9.009974382,4.556823339,2.31830927,7.294552998,4.618387732,10.29275405,4.200101583,18.81613233,6.621851053,9.118136175,9.088514464,20.24169916,18.98099135,9.028103005,9.858455064,9.287638027,2.946456418,15.07879882,8.742107789,7.82809306,3.610682468,7.816271858,10.10314775,9.441989933,13.47035027,10.58749987,20.53987435,9.538325394,10.93612552,10.94616367,27.34302964,11.29186198,7.700107372,11.55675072,19.16367353,11.06164814,3.290246885,19.44121581,17.70833275,9.253927363,15.3806003,11.28818783,9.25241502,10.32569716,13.83442273,10.8325075,19.60113751,23.21105218,9.123161295,23.14144027,3.499841802,9.135607038,8.362636311,19.0020554,9.077135373,2.437825776,15.60489004,19.11322376,2.555242357,12.05196686,23.9782642,20.28713436,20.99265514,15.77014104,2.41901348,15.21153442,8.628982828,11.34418088,10.03948216,11.62125241,11.68334455,13.99363025,10.13753848,9.589674178,7.383349499,19.93209979,11.92518868,8.182006597,17.05221785,18.88483647,2.006890289,22.24962338,16.54542027,11.50324631,12.10461815,3.033605192,14.56523037,12.25542509,11.37183245,10.50252278,18.13215082,2.877880111,11.93792089,11.58543822,10.60851947,2.422795737,13.67590923,19.93228161,16.82186733,16.90424251,8.129607951,13.97138033,11.69869699,12.31437269,10.94580567,18.03322051,7.375407769,12.74342595,19.29598901,11.01601971,6.203998298,14.38593489,9.801555213,12.7580552,18.37263179,14.65029598,12.82591443,13.22253645,9.714813737,16.72272802,3.826982697,17.59665347,13.31314991,10.70785483,10.49219064,12.38789476,11.55643754,14.5561708,13.84308274,11.84414515,14.64573907,13.26430742,14.64129391,10.20401641,11.47564563,13.28219038,11.86619476,17.2820362,19.08343256,12.42858858,26.99322792
"6",35250035,9.928247416,9.167666945,9.791075251,9.072986667,11.94840262,17.49330419,8.12821288,10.62833232,14.74182692,14.04691679,6.107355364,6.893843052,3.257174274,3.257174274,3.263507236,17.76305155,9.594337307,14.64541321,11.71656368,5.777670943,20.00434565,11.16375745,6.372434494,12.76810596,10.72254158,16.36966326,16.36966326,15.52949098,3.373044395,14.58159929,9.828982474,19.20030924,14.97306563,18.76208203,19.01309507,5.208117158,16.22847772,26.99457127,20.03071646,9.820085624,5.366934581,2.998176689,8.104664239,5.381588485,11.10286529,4.963302335,19.62624357,7.431962295,9.928247416,9.898625705,21.05181041,19.7911026,9.838214247,10.66856631,10.09774927,3.626323837,15.88891006,9.552219031,8.638204301,4.37388322,8.6263831,10.8663485,10.25210117,14.23355102,11.39761112,21.34998559,10.34843664,10.73020763,10.74024578,28.10623039,11.08594409,8.510218613,12.31995147,19.92687429,11.87175938,3.970114304,20.25132705,18.51844399,10.01712812,16.19071155,11.08226994,10.06252626,11.08889791,14.64453398,11.64261874,20.41124875,24.02116342,9.886362047,23.90464102,4.033280337,9.89880779,9.172747553,19.76525615,9.840336125,3.247937018,16.41500129,19.923335,3.235109776,12.81516761,24.78837544,21.05033511,21.80276639,16.58025229,3.098880899,16.02164567,9.439094069,12.15429212,10.8495934,12.43136366,12.49345579,14.80374149,10.94764972,10.39978542,8.193460741,20.74221103,12.73529992,8.992117839,17.8154186,19.69494771,2.686757708,23.05973462,17.35553151,12.31335755,12.91472939,3.796805944,15.37534161,13.06553633,12.1819437,11.31263403,18.94226206,3.55774753,12.74803213,12.39554946,11.37172022,3.102663156,14.43910998,20.74239285,17.63197858,17.71435375,8.939719193,14.78149157,12.50880823,13.12448393,11.75591691,18.84333175,8.185519011,13.55353719,20.10610025,11.82613095,7.014109539,15.19604614,10.61166646,13.56816644,19.18274303,15.41349673,13.63602567,13.9857372,10.52492498,17.48592877,4.59018345,18.40676471,14.07635066,11.47105558,11.30230189,13.198006,12.36654878,15.36628204,14.60628349,12.6542564,15.45585031,14.07441866,15.45140516,9.99809852,12.28575687,14.09230162,11.66027688,18.09214744,19.8935438,13.23869982,27.80333916
"7",35250036,9.904419955,9.143839483,9.767247789,9.049159205,11.92457515,17.04666428,8.583132966,9.666041267,13.77953587,14.02308932,6.083527902,6.87001559,1.807173776,1.807173776,1.813506738,17.73922409,9.570509845,13.68312216,9.85370457,5.753843481,19.0420546,11.13992999,6.473869839,11.80581491,10.69871412,16.3458358,16.3458358,15.50566352,1.923043896,14.55777183,9.805155012,19.17648178,13.48561506,17.79979097,18.05080402,4.73985345,14.21542234,26.97074381,20.00688899,9.796258162,4.614347702,2.03436622,8.080836777,4.419297433,11.07903783,4.001011284,19.60241611,7.408134833,9.904419955,9.874798244,21.02798294,19.76727513,9.814386785,10.64473884,10.07392181,2.176323338,15.8650826,9.528391569,8.61437684,3.411592168,8.602555638,9.904057452,10.22827371,13.27125997,11.37378365,21.32615813,10.32460917,8.867348519,8.877386673,27.14393934,9.223084979,8.486391152,11.35766042,18.96458323,11.84793192,2.520113805,20.22749959,18.49461653,9.054837064,16.16688408,9.219410834,10.0386988,10.12660686,13.91540634,11.61879128,19.7399955,23.99733596,8.924070996,22.94234997,2.220385373,8.936516739,9.148920091,18.8029651,8.878045073,2.583647149,16.39117382,19.89950753,1.961863275,11.85287656,23.93422273,20.08804406,21.77893892,16.55642482,1.825634398,15.29251803,9.415266607,12.13046466,10.82576594,12.40753619,12.46962833,14.77991403,10.92382226,10.37595796,8.169633279,20.71838357,12.71147246,8.968290377,16.85312755,19.67112025,2.155692296,23.03590716,17.33170405,12.28953009,12.89090193,2.834514892,14.93134267,13.04170887,12.15811623,11.28880656,18.9184346,2.098468569,12.72420467,12.371722,10.40942917,1.739786849,13.47681893,20.71856539,17.60815111,17.69052629,8.915891731,14.75766411,12.48498077,13.10065647,11.73208945,18.81950429,8.161691549,13.52970973,20.08227279,11.80230349,6.990282077,15.17221867,10.58783899,13.54433898,19.15891557,14.45120568,13.61219821,13.02344615,10.50109752,16.52363772,3.627892398,18.38293725,13.11405961,10.50876453,11.27847442,13.17417854,12.34272132,15.34245458,13.64399244,12.63042893,15.43202285,14.0505912,15.00740622,8.135239412,12.26192941,14.06847416,9.797417767,18.06831998,19.86971634,13.21487236,27.7795117
"8",35250037,9.149191072,8.388610601,9.012018907,8.293930323,11.16934627,16.2914354,8.362297822,8.910812385,13.02430698,13.26786044,5.32829902,6.114786708,1.147527047,1.147527047,1.153860008,16.98399521,8.815280963,12.92789328,9.632869426,4.998614599,18.28682572,10.38470111,5.718640956,11.05058602,9.943485239,15.59060692,15.59060692,14.75043464,1.263397167,13.80254295,9.04992613,18.42125289,12.86341841,17.04456209,17.29557514,3.984624568,13.9945872,26.21551493,19.25166011,9.04102928,3.85911882,0.955221761,7.325607895,3.664068551,10.32380894,3.245782402,18.84718723,6.652905951,9.149191072,9.119569361,20.27275406,19.01204625,9.059157903,9.889509961,9.318692925,1.516676609,15.10985371,8.773162687,7.859147957,2.656363286,7.847326755,9.14882857,9.473044831,12.51603109,10.61855477,20.57092924,9.569380292,8.646513375,8.656551529,26.38871046,9.002249835,7.731162269,10.60243154,18.20935435,11.09270304,1.860467076,19.4722707,17.73938765,8.299608182,15.4116552,8.99857569,9.283469918,9.371377975,13.16017745,10.86356239,18.98476661,23.24210708,8.168842113,22.18712108,1.560738644,8.181287857,8.393691209,18.04773622,8.122816191,1.828418267,15.63594494,19.14427865,1.302216546,11.09764768,23.17899384,19.33281518,21.02371004,15.80119594,1.165987669,14.53728915,8.660037725,11.37523578,10.07053706,11.65230731,11.71439945,14.02468514,10.16859337,9.620729075,7.414404397,19.96315469,11.95624357,8.213061495,16.09789867,18.91589137,1.266640742,22.28067828,16.57647517,11.53430121,12.13567305,2.07928601,14.17611378,12.28647998,11.40288735,10.53357768,18.16320572,1.438821839,11.96897579,11.61649312,9.654200289,1.080140119,12.72159005,19.96333651,16.85292223,16.93529741,8.160662849,14.00243523,11.72975189,12.34542759,10.97686057,18.06427541,7.406462667,12.77448085,19.32704391,11.04707461,6.235053195,14.41698979,9.832610111,12.7891101,18.40368668,13.6959768,12.85696933,12.26821727,9.745868635,15.76840884,2.872663516,17.62770837,12.35883073,9.753535647,10.52324554,12.41894966,11.58749244,14.5872257,12.88876356,11.87520005,14.67679397,13.29536232,14.25217733,7.914404268,11.50670053,13.31324527,9.576582623,17.31309109,19.11448746,12.45964348,27.02428282
"9",35250038,8.093236249,7.332655778,7.956064084,7.2379755,10.11339145,15.23548057,8.203755823,7.854857562,11.96835216,12.21190562,4.272344197,5.058831885,0.225907975,0.225907975,0.232240937,15.92804038,7.75932614,11.87193846,9.571082686,3.942659776,17.2308709,9.328746284,4.662686133,9.994631201,8.887530416,14.53465209,14.53465209,13.69447982,0.341778096,12.74658812,7.993971307,17.36529807,11.94179933,15.98860727,16.23962032,2.928669745,13.93280046,25.15956011,18.19570529,7.985074457,2.803163997,0.746591311,6.269653072,2.608113728,9.267854121,2.189827579,17.79123241,5.596951128,8.093236249,8.063614538,19.21679924,17.95609143,8.00320308,8.833555138,8.262738102,0.595057538,14.05389889,7.717207864,6.803193134,1.600408463,6.791371932,8.092873747,8.417090008,11.46007626,9.562599948,19.51497442,8.513425469,8.584726636,8.594764789,25.33275563,8.940463096,6.675207446,9.546476714,17.15339953,10.03674822,0.938848005,18.41631588,16.68343282,7.243653359,14.35570038,8.936788951,8.227515095,8.315423152,12.10422263,9.807607572,17.92881179,22.18615226,7.11288729,21.13116626,1.148442922,7.125333034,7.337736386,16.9917814,7.066861368,0.772463444,14.57999012,18.08832383,0.203843477,10.04169286,22.12303902,18.27686036,19.96775522,14.74524112,0.0676146,13.48133432,7.604082902,10.31928095,9.014582235,10.59635249,10.65844462,12.96873032,9.112638551,8.564774252,6.358449574,18.90719987,10.90028875,7.157106672,15.04194385,17.85993654,0.344508591,21.22472345,15.52052034,10.47834638,11.07971823,1.023331187,13.12015896,11.23052516,10.34693253,9.477622858,17.10725089,0.526481231,10.91302096,10.5605383,8.598245466,0.071396857,11.66563522,18.90738168,15.79696741,15.87934259,7.104708026,12.94648041,10.67379706,11.28947277,9.920905748,17.00832058,6.350507844,11.71852602,18.27108908,9.991119787,5.179098372,13.36103497,8.776655288,11.73315527,17.34773186,12.64002197,11.80101451,11.21226245,8.689913812,14.71245402,1.816708693,16.57175355,11.30287591,8.697580824,9.467290718,11.36299484,10.53153761,13.53127088,11.83280873,10.81924523,13.62083915,12.23940749,13.19622251,7.852617528,10.45074571,12.25729045,9.514795883,16.25713627,18.05853264,11.40368866,25.968328
"10",35250039,8.02911258,7.268532109,7.891940415,7.173851831,10.04926778,15.17135691,8.225287296,7.790733892,11.90422849,12.14778195,4.208220527,4.994708215,0.902007946,0.902007946,0.908340908,15.86391671,7.695202471,11.80781479,10.24718266,3.878536106,17.16674723,9.264622615,4.598562464,9.930507532,8.823406747,14.47052842,14.47052842,13.63035615,1.017878067,12.68246446,7.929847637,17.3011744,12.61789931,15.9244836,16.17549665,2.864546076,14.60890043,25.09543644,18.13158162,7.920950787,2.739040327,0.787374588,6.205529403,2.543990058,9.203730451,2.125703909,17.72710874,5.532827459,8.02911258,7.999490869,19.15267557,17.89196776,7.93907941,8.769431469,8.198614432,1.271157509,13.98977522,7.653084195,6.739069465,1.536284794,6.727248263,8.028750077,8.352966338,11.39595259,9.498476279,19.45085075,8.4493018,9.260826607,9.27086476,25.26863196,9.616563066,6.611083777,9.482353045,17.08927586,9.972624548,1.614947975,18.35219221,16.61930915,7.17952969,14.29157671,9.612888921,8.163391425,8.251299483,12.04009896,9.743483902,17.86468812,22.12202859,7.048763621,21.06704259,1.824542892,7.061209364,7.273612716,16.92765773,7.002737699,0.612965241,14.51586645,18.02420016,0.879943448,9.977569188,22.05891535,18.21273669,19.90363155,14.68111745,0.74371457,13.41721065,7.539959233,10.25515728,8.950458565,10.53222882,10.59432096,12.90460665,9.048514882,8.500650583,6.294325904,18.8430762,10.83616508,7.092983003,14.97782018,17.79581287,0.475955607,21.16059978,15.45639667,10.41422271,11.01559456,0.959207518,13.05603529,11.16640149,10.28280886,9.413499189,17.04312722,1.202581202,10.84889729,10.49641463,8.534121797,0.747496828,11.60151155,18.84325801,15.73284374,15.81521892,7.040584356,12.88235674,10.60967339,11.2253491,9.856782078,16.94419692,6.286384174,11.65440235,18.20696541,9.926996118,5.114974703,13.2969113,8.712531619,11.6690316,17.28360819,12.5758983,11.73689084,11.14813878,8.625790142,14.64833035,1.752585024,16.50762988,11.23875224,8.633457155,9.403167049,11.29887117,10.46741394,13.46714721,11.76868506,10.75512156,13.55671548,12.17528382,13.13209884,8.528717499,10.38662204,12.19316678,10.19089585,16.1930126,17.99440897,11.33956499,25.90420433
