OBJECTID_1,OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
1,4,"1 Young St, Hamilton, ON L8N 1T8, Canada",-79.87094,4,43.2514312,1,6
2,7,"10 George St, Hamilton, ON L8P 1C8, Canada",-79.8747461,7,43.2574938,1,1
3,14,"100 Main St E, Hamilton, ON L8N 3W4, Canada",-79.8652871,14,43.2541433,1,1
4,15,"100 Main St W, Hamilton, ON L8P 1H6, Canada",-79.8735212,15,43.2569357,1,27
5,18,"100 West 5th Street, Hamilton, ON L8P 3R2, Canada",-79.8841077,18,43.240445,1,3
6,20,"1000 Upper Gage Ave, Hamilton, ON L8V 5B7, Canada",-79.8462179,20,43.2136357,1,1
7,27,"102 North Dr, Dundas, ON L9H 6P7, Canada",-79.9135214,27,43.303838,1,1
8,31,"105 Wilson St E, Ancaster, ON L9G 2B7, Canada",-79.9828333,31,43.2210289,1,1
9,32,"1051 Garner Rd W, Ancaster, ON L9G 3K9, Canada",-80.0136667,32,43.1978431,1,2
10,33,"1051 Upper James St, Hamilton, ON L9C 3A6, Canada",-79.8843701,33,43.2207825,1,1
11,34,"1057 Main St W, Hamilton, ON L8S 1B7, Canada",-79.9086442,34,43.2580036,1,1
12,38,"1063 King St W, Hamilton, ON L8S 4S3, Canada",-79.9073279,38,43.2610561,1,1
13,39,"107 King St W #204, Dundas, ON L9H 1V1, Canada",-79.9582205,39,43.2667395,1,1
14,40,"107 King St W, Dundas, ON L9H 1V1, Canada",-79.9582205,40,43.2667395,1,5
15,43,"109 King St W, Dundas, ON L9H 1V1, Canada",-79.9582707,43,43.2668612,1,3
16,45,"11 A - 969 Upper Ottawa St, Hamilton, ON L8T 4V9, Canada",-79.8347952,45,43.2107107,1,1
17,47,"110 King St W, Hamilton, ON L8P 4V3, Canada",-79.8711186,47,43.2578582,1,3
18,52,"1144 Wilson St W, Ancaster, ON L9G 3K9, Canada",-80.0186023,52,43.1969655,1,2
19,57,"115 Hamilton St N, Waterdown, ON L0R 2H5, Canada",-79.90245,57,43.3355,1,3
20,64,"1200 Main St W, Hamilton, ON L8P 1H1, Canada",-79.9174697,64,43.259495,1,10
21,74,"1275 Rymal Rd E, Hamilton, ON L8W 3N1, Canada",-79.8365897,74,43.1894097,1,1
22,75,"128 Emerald St S, Hamilton, ON L8N 2V5, Canada",-79.8560544,75,43.2493435,1,5
23,76,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",-79.9202861,76,43.2622445,1,39
24,78,"129 Central Dr, Ancaster, ON L9G 2A3, Canada",-79.998734,78,43.2135108,1,1
25,80,"130 Wilson St, Hamilton, ON L8R 1E2, Canada",-79.8620242,80,43.2571474,1,9
26,82,"132 Parkdale Ave S #207, Hamilton, ON L8K 3P3, Canada",-79.7937837,82,43.233124,1,1
27,83,"132 Parkdale Ave S, Hamilton, ON L8K 3P3, Canada",-79.7937837,83,43.233124,1,5
28,84,"1320 Barton St E, Hamilton, ON L8H 2W1, Canada",-79.8066425,84,43.2491067,1,2
29,85,"133 King St W, Dundas, ON L9H 1V3, Canada",-79.959576,85,43.2671167,1,4
30,88,"1390 Main St E, Hamilton, ON L8K 1C1, Canada",-79.8103914,88,43.2402737,1,1
31,89,"14 John St N, Hamilton, ON L8R 1G9, Canada",-79.8660617,89,43.2563267,1,2
